Frame,Light_Context,Obstacle_Context,Carla_Agent_Action,LLM_Action,Match,LLM_Low-Level_Control,LLM_Thought
74,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.021 (continue turning left), Brake: 0.3 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
75,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.1 (reduce speed), Steer: -0.02 (start turning left), Brake: 0.2 (prepare for potential stop)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
76,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.02 (start turning left), Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
77,None,vehicle,Decelerate,Yield / Slow Down,False,"Throttle: 0.5, Steer: -0.02, Brake: 0.2","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
78,None,vehicle,Maintain Speed / Coasting,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.015 (continue gentle turn), Brake: 0.3 (maintain some braking to be cautious)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
79,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.016 (continue turning left), Brake: 0.044 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
80,None,vehicle,Strong Acceleration,Gradual Brake / Slow Down,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.3","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
81,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.5, Steer: -0.02, Brake: 0.2","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
82,None,vehicle,Decelerate,Yield / Slow Down,False,"Throttle: 0.5, Steer: -0.02, Brake: 0.2","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
83,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.016 (continue turning left), Brake: 0.3 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
84,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.02 (start turning left), Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
85,None,vehicle,Strong Acceleration,Gradual Deceleration,False,"Throttle: 0.5, Steer: -0.015, Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
86,None,vehicle,Decelerate,Adjust Steering / Maintain Safe Distance,False,"Throttle: 0.5, Steer: -0.02, Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to adjust my speed and steering to maintain safe distance from the approaching vehicle in front of me."
87,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.016 (continue turning left), Brake: 0.3 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
88,None,vehicle,Light Acceleration,Gradual Deceleration / Yield,False,"Throttle: 0.1, Steer: -0.016, Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
89,None,vehicle,Strong Acceleration,Gradual Brake / Slow Down,False,"Throttle: 0.2, Steer: -0.015, Brake: 0.3","I need to slow down and prepare for a potential collision with the approaching vehicle in front of me. The GPS Route Instruction indicates a left turn ahead, but it's not yet time to execute that command as we're still some distance away from the intersection."
90,None,vehicle,Strong Acceleration,Gradual Brake / Yield,False,"Throttle: 0.5, Steer: -0.015, Brake: 0.2","I need to slow down and prepare for a potential turn based on the GPS Route Instruction. However, there's an approaching vehicle in my path that requires me to yield or brake. Given the proximity of the other vehicle, it's essential to prioritize safety."
91,None,vehicle,Light Acceleration,Gradual Brake / Yield,False,"Throttle: 0.5, Steer: -0.016, Brake: 0.2","I need to slow down and prepare for a potential turn based on the GPS Route Instruction. However, there's an approaching vehicle in my path that requires me to yield or brake. Given the proximity of the other vehicle, it's essential to prioritize safety."
92,None,vehicle,Strong Acceleration,Gradual Deceleration / Position Adjustment,False,"Throttle: 0.2, Steer: -0.018 (maintain current steering angle), Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to slow down and prepare for the upcoming intersection. There is another vehicle approaching from the front, requiring me to adjust my speed and position accordingly."
93,None,vehicle,Strong Acceleration,Adjust Speed / Slow Down,False,"Throttle: 0.5, Steer: -0.015, Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to adjust my speed and steering based on the approaching vehicle in front of me.
To maintain safety, I will slow down to avoid a potential collision with the approaching vehicle."
94,None,vehicle,Strong Acceleration,Gradual Deceleration / Position Adjustment,False,"Throttle: 0.5, Steer: -0.016 (maintaining current steering angle), Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to slow down and prepare for the upcoming intersection. There is another vehicle approaching from the front, requiring me to adjust my speed and position accordingly."
